Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
Latvia,2021,7.76,146.79,10.83,157.03,5.18,0.32,9.09,13.89,9.14,17.69,417.28,77.28
Latvia,2022,8.0,147.25,10.4,123.79,4.05,0.53,12.9,14.93,9.01,21.27,512.91,67.49
Latvia,2023,4.94,126.18,8.34,,4.2,0.85,15.03,17.05,14.87,29.26,568.88,71.69
Liechtenstein,2014,,597.92,,,2.69,0.0,13.47,2.69,37.71,21.55,576.37,1018.07
Liechtenstein,2015,,449.61,,,0.0,0.0,5.35,8.03,42.82,24.09,516.51,738.64
Liechtenstein,2016,0.0,374.78,10.63,465.15,0.0,0.0,5.32,10.63,18.61,23.92,520.97,1185.48
Liechtenstein,2017,,335.89,15.87,343.82,2.64,,13.22,5.29,,21.16,394.08,1295.95
Liechtenstein,2018,,367.32,36.73,411.92,2.62,,13.12,5.25,,23.61,425.04,1870.7
Liechtenstein,2019,,278.81,28.66,466.41,0.0,0.0,2.61,5.21,,15.63,463.81,2066.29
Liechtenstein,2020,,152.27,25.81,454.23,2.58,0.0,7.74,10.32,,28.39,343.25,2730.53
Liechtenstein,2021,,284.21,35.85,471.13,,0.0,5.12,5.12,,15.36,471.13,1223.91
Liechtenstein,2022,,351.07,27.98,501.17,0.0,0.0,10.18,5.09,,35.62,646.18,1185.51
Liechtenstein,2023,,468.79,32.76,,0.0,0.0,12.6,15.12,,50.41,617.49,1920.51
Lithuania,2014,,113.54,,,5.27,0.0,5.37,57.35,5.4,10.77,947.69,87.89
Lithuania,2015,,102.66,,,5.75,0.0,5.31,54.43,3.7,9.0,779.9,86.4
Lithuania,2016,2.15,91.98,26.35,99.36,4.92,0.0,3.81,46.46,3.39,7.2,691.11,79.21
Lithuania,2017,3.02,90.94,26.3,105.31,3.97,0.0,4.35,38.2,3.58,7.94,598.33,92.07
Lithuania,2018,1.35,70.6,19.76,99.08,3.45,0.0,4.13,29.26,3.67,7.8,456.87,114.64
Lithuania,2019,2.72,58.73,17.72,106.69,3.01,0.0,3.36,23.8,3.44,6.8,390.17,110.19
Lithuania,2020,11.2,43.81,19.72,96.2,3.54,0.04,2.58,17.14,1.93,4.51,338.11,105.22
Lithuania,2021,12.52,29.4,22.32,117.25,2.5,0.04,2.43,11.09,2.83,5.26,276.71,112.49
Lithuania,2022,12.01,28.94,18.71,141.41,2.21,0.0,2.39,12.19,2.64,5.02,343.12,109.76
Lithuania,2023,5.67,25.41,11.51,,2.41,0.0,3.22,11.9,3.11,6.33,353.27,133.38
Luxembourg,2014,,794.64,,,0.73,9.46,13.28,111.88,65.86,65.31,1866.36,762.26
Luxembourg,2015,,374.98,,,0.89,9.41,12.08,98.41,51.16,58.26,1632.98,830.43
Luxembourg,2016,0.87,328.33,0.87,171.63,0.87,8.68,18.39,79.65,,45.64,1727.38,690.85
Luxembourg,2017,0.17,342.66,0.17,99.55,0.34,7.79,14.22,76.86,,39.45,1708.24,454.23
Luxembourg,2018,0.5,609.13,0.5,107.31,0.5,5.98,12.62,74.58,,37.71,1712.94,498.83
Luxembourg,2019,0.16,575.18,0.16,121.19,0.65,7.17,18.9,74.44,,48.22,1616.73,690.35
Luxembourg,2020,0.8,476.6,0.8,235.58,0.32,6.71,16.61,75.39,,46.16,1478.66,737.73
Luxembourg,2021,0.63,489.34,0.63,362.2,0.47,5.83,17.33,93.74,,54.83,1717.58,594.43
Luxembourg,2022,0.0,633.72,0.0,726.53,1.39,8.06,20.3,101.02,,60.74,2520.0,555.63
Luxembourg,2023,,601.23,,,0.61,,22.09,86.71,,46.16,3369.81,473.51
Malta,2014,,289.92,,,1.41,0.0,2.59,44.67,15.52,18.1,1574.9,44.71
Malta,2015,,236.76,,,0.93,0.0,5.36,55.04,18.87,24.22,1676.18,35.71
Malta,2016,0.22,239.33,1.11,111.01,1.11,0.0,5.99,57.5,13.54,19.54,1661.58,48.18
Malta,2017,0.22,275.26,0.65,170.98,1.96,0.0,4.13,43.88,12.82,16.95,1474.27,67.35
Malta,2018,0.42,254.57,1.68,216.94,1.26,0.0,3.78,43.72,15.77,19.55,1073.99,73.16
Malta,2019,0.2,257.31,0.81,166.55,0.81,0.0,6.28,35.25,17.83,24.11,1050.94,32.21
Malta,2020,0.19,201.34,3.11,157.8,1.17,0.0,3.3,24.88,13.99,17.3,663.47,32.65
Malta,2021,1.16,169.15,5.04,460.57,0.39,0.0,6.2,19.57,20.54,26.74,678.94,117.61
Malta,2022,0.96,171.99,4.41,299.82,1.54,0.0,7.49,25.34,19.58,27.06,687.95,40.56
Malta,2023,0.74,154.78,14.21,,0.37,0.0,11.62,32.47,17.34,28.96,685.54,36.9
Montenegro,2014,,153.01,,,3.06,0.0,0.8,30.25,4.18,4.99,143.52,28.8
Montenegro,2015,,150.94,,,2.73,0.0,0.8,25.08,3.38,4.18,132.94,29.58
Montenegro,2016,3.21,136.13,12.86,7.88,3.86,0.32,0.32,20.57,2.57,3.54,81.32,33.11
Montenegro,2017,0.64,145.09,12.21,,1.77,0.0,1.61,18.96,1.12,3.7,80.82,37.12
Montenegro,2018,0.64,109.42,38.88,0.96,2.09,0.0,1.29,19.76,2.09,3.7,70.7,39.53
Montenegro,2019,0.16,100.29,27.64,7.23,3.38,0.32,0.64,15.27,4.5,5.95,66.38,47.74
Montenegro,2020,0.96,70.59,24.76,9.33,2.57,,1.45,7.72,2.25,4.34,51.46,45.19
Montenegro,2021,1.29,74.11,28.68,6.44,2.26,0.32,1.29,9.34,3.87,5.8,54.29,55.9
Montenegro,2022,1.94,74.8,54.4,6.31,1.13,0.16,2.59,7.61,3.24,6.48,55.04,50.67
Montenegro,2023,1.46,71.83,16.86,,0.81,0.16,2.43,4.38,4.05,6.49,53.84,61.78
Netherlands,2014,,614.2,,,0.86,2.47,7.25,62.09,10.78,25.49,2171.04,90.28
Netherlands,2015,,571.51,,,0.71,2.57,7.48,57.57,10.12,24.61,1982.87,81.8
Netherlands,2016,,498.29,40.67,371.04,0.64,2.47,9.04,52.89,13.05,27.89,1790.76,73.33
Netherlands,2017,,437.29,39.46,,0.92,2.34,10.3,46.69,12.88,28.13,1516.82,68.61
Netherlands,2018,,367.26,38.59,,0.69,2.47,11.29,45.31,13.82,30.0,1361.88,72.64
Netherlands,2019,,341.1,38.22,,0.72,2.95,11.89,49.7,12.99,24.88,1353.19,80.57
Netherlands,2020,,286.34,33.84,,0.7,2.99,11.86,41.96,11.23,23.09,1176.15,73.53
Netherlands,2021,,212.87,30.44,,0.72,2.63,13.76,31.76,12.96,26.72,1052.56,66.38
Netherlands,2022,,212.81,31.01,,0.81,2.53,16.51,33.94,17.0,33.51,1324.34,66.83
Netherlands,2023,,197.32,30.46,,0.7,2.53,13.56,33.69,14.32,27.9,1378.11,76.24
North Macedonia,2014,,634.53,,,1.21,0.39,2.18,14.76,,6.54,241.22,1.06
North Macedonia,2015,,,,,1.01,0.53,1.98,13.44,,5.8,,0.82
North Macedonia,2016,,,,,0.82,0.48,1.74,11.97,,5.5,,1.5
North Macedonia,2017,,,,,1.21,0.34,1.69,20.11,,4.92,,
North Macedonia,2019,0.34,,0.34,,1.06,0.72,1.69,18.44,,4.19,,43.14
North Macedonia,2020,0.29,,0.29,,0.48,0.1,1.83,12.72,,5.44,,35.3
North Macedonia,2021,0.34,,0.34,,0.63,0.39,1.21,13.29,,4.5,,33.88
North Macedonia,2022,0.87,,0.87,,0.98,0.38,0.98,17.53,,4.84,,40.77
North Macedonia,2023,1.2,,1.2,,1.26,0.71,1.8,16.12,,7.1,,44.54
Northern Ireland (UK) (NUTS 2021),2014,,483.81,,,0.93,2.39,37.39,49.31,62.86,140.53,1460.35,269.42
Northern Ireland (UK) (NUTS 2021),2015,,496.24,,,1.3,3.52,40.79,43.87,70.52,157.62,1392.41,291.46
Northern Ireland (UK) (NUTS 2021),2016,,397.84,,,0.97,4.36,44.6,36.24,73.5,171.35,1294.58,295.74
Northern Ireland (UK) (NUTS 2021),2017,,365.36,,,1.29,3.59,51.0,30.38,75.8,179.79,1253.97,334.61
Northern Ireland (UK) (NUTS 2021),2018,,340.52,,,1.23,4.37,58.1,33.1,77.99,193.02,1288.84,363.97
Norway,2014,,291.51,,,0.57,,31.91,20.81,35.38,73.34,2584.55,888.18
Norway,2015,,,,,0.46,,36.85,18.0,40.99,84.37,2222.55,805.15
Norway,2016,,,0.88,409.94,0.52,,42.89,15.54,56.13,106.7,2005.61,694.41
Norway,2017,,,1.56,377.97,0.53,,43.89,14.85,55.09,107.16,1791.05,638.7
Norway,2018,,,0.68,425.48,0.47,,48.42,14.88,51.63,109.45,1743.33,597.34
Norway,2019,,,0.88,394.73,0.53,,41.23,16.53,46.75,95.06,1774.4,540.39
Norway,2020,,,0.75,353.94,0.58,,41.62,17.85,44.51,94.27,1611.88,480.63
Norway,2021,,,0.57,351.08,0.54,,45.83,14.21,51.92,107.12,1467.77,324.93
Norway,2022,,,0.76,424.83,0.55,,41.55,16.66,46.28,95.46,1830.54,275.64
Norway,2023,,,0.51,,0.73,,42.36,25.18,45.36,95.86,2022.14,294.15
Poland,2014,,281.17,,,0.74,0.77,2.09,36.48,1.01,7.71,443.39,167.83
Poland,2015,,249.12,,,0.76,0.65,1.73,26.86,1.11,7.25,382.08,144.76
Poland,2016,16.24,210.52,18.68,286.16,0.67,,2.08,25.37,1.35,8.31,332.9,159.21
Poland,2017,13.2,178.32,19.53,339.82,0.73,,1.89,21.37,1.2,8.48,281.58,170.26
Poland,2018,23.67,182.08,26.43,309.22,0.7,,1.99,17.91,1.1,8.76,260.25,158.18
Poland,2019,10.76,188.01,16.44,368.77,0.54,,1.87,17.05,1.52,9.38,270.15,176.0
Poland,2020,13.34,196.27,19.77,364.05,0.69,,1.5,13.93,0.95,7.74,259.55,175.32
Poland,2021,13.1,194.17,16.14,467.52,0.7,,1.54,12.88,0.93,8.49,287.32,183.99
Poland,2022,8.16,186.58,14.27,463.54,0.69,,1.57,12.83,0.95,8.96,321.08,186.18
Poland,2023,7.82,175.5,9.33,,0.8,,1.36,12.66,1.09,9.56,318.83,183.24
Portugal,2014,,331.94,,,0.88,3.61,3.59,149.55,18.77,22.35,873.1,45.56
Portugal,2015,,283.24,,,0.96,3.56,3.61,149.13,19.95,23.57,948.78,51.07
Portugal,2016,0.67,253.28,1.47,188.39,0.64,2.86,3.24,128.74,20.67,23.91,863.57,55.56
Portugal,2017,0.81,221.86,1.71,222.44,0.74,2.83,3.96,115.28,20.66,24.62,858.82,62.86
Portugal,2018,0.69,221.86,1.61,232.41,0.79,2.65,4.09,102.47,19.84,23.93,850.93,63.55
Portugal,2019,0.68,208.55,1.65,301.42,0.71,3.29,4.19,106.32,22.09,26.28,799.1,55.94
Portugal,2020,0.6,185.83,1.5,359.4,0.79,2.47,3.06,87.18,20.58,23.64,632.86,38.52
Portugal,2021,0.97,159.31,2.06,390.41,0.8,2.22,3.86,76.65,22.55,26.4,621.02,43.12
Portugal,2022,0.54,163.65,1.69,431.49,0.72,2.41,5.01,85.08,24.2,29.21,708.7,62.39
Portugal,2023,0.68,152.08,2.12,,0.7,2.9,4.7,85.23,25.9,30.6,714.33,72.85
Romania,2014,,256.26,,,1.49,1.45,4.39,32.17,3.21,7.6,824.15,12.07
Romania,2015,,148.77,,,1.46,1.48,5.11,16.9,0.4,8.76,545.72,25.42
Romania,2016,5.94,138.32,7.09,,1.25,1.75,4.76,15.67,0.5,9.05,466.08,22.63
Romania,2017,4.35,138.35,27.67,51.93,1.3,1.58,7.05,16.1,0.73,7.78,489.47,31.2
Romania,2018,3.37,155.96,22.42,53.74,1.37,1.56,7.49,16.77,1.47,8.97,514.1,43.44
Romania,2019,3.33,150.11,21.07,58.42,1.31,1.82,8.04,17.85,1.81,9.85,344.08,41.73
Romania,2020,3.51,133.17,17.66,58.06,1.32,1.48,8.25,19.91,1.65,9.9,321.16,34.2
Romania,2021,3.97,135.49,20.92,62.08,0.99,1.79,10.16,17.77,2.06,12.21,335.96,40.72
Romania,2022,2.25,133.64,20.66,64.43,0.93,2.13,11.78,16.12,2.36,14.15,311.37,48.54
Romania,2023,1.76,144.25,17.04,,0.73,2.05,13.96,16.98,2.92,16.88,334.48,67.04
Scotland (NUTS 2021),2014,,386.08,,,1.16,4.38,33.67,28.05,71.78,160.26,1780.27,688.34
Scotland (NUTS 2021),2015,,329.26,,,1.1,4.26,31.59,24.76,76.17,173.76,1619.49,660.41
Scotland (NUTS 2021),2016,,303.15,,,1.15,4.28,32.64,26.63,81.91,186.92,1578.45,605.01
Scotland (NUTS 2021),2017,,279.42,,,1.09,4.3,39.45,28.74,91.33,214.75,1598.29,596.43
Scotland (NUTS 2021),2018,,253.4,,,1.1,4.93,42.17,33.24,96.67,233.68,1592.24,638.49
Serbia,2014,,374.83,,,1.6,0.17,1.86,45.22,2.17,4.03,374.35,86.99
Serbia,2015,,316.27,,,1.35,0.2,1.6,42.65,1.88,3.53,344.13,80.2
Serbia,2016,2.08,278.14,19.05,31.73,1.5,0.11,1.48,34.23,2.52,4.0,316.98,99.2
Serbia,2017,2.09,239.25,21.31,29.03,1.12,0.16,1.58,25.98,2.87,4.45,294.76,119.41
Serbia,2018,4.21,206.43,16.84,28.08,1.49,0.2,1.76,22.81,4.83,6.58,268.24,145.9
Serbia,2019,3.14,171.04,15.12,42.52,1.15,0.11,1.67,17.91,6.36,8.03,259.51,160.11
Serbia,2020,2.6,137.14,10.77,31.63,1.1,0.06,1.34,12.21,5.67,7.02,219.84,155.51
Serbia,2021,2.84,142.98,17.04,39.28,1.06,0.2,1.67,11.74,7.95,9.63,252.68,142.03
Serbia,2022,2.13,139.63,14.73,49.14,1.03,0.16,1.59,10.55,5.53,7.12,258.64,155.73
Serbia,2023,1.69,133.27,10.56,,1.17,0.15,1.31,9.77,6.78,8.09,222.6,152.76
Slovakia,2014,,174.06,,,1.33,1.53,1.59,12.56,1.0,12.61,550.52,29.71
Slovakia,2015,,126.57,,,0.89,1.57,1.6,9.94,1.38,11.9,444.37,32.28
Slovakia,2016,1.31,115.37,1.94,42.61,1.11,1.88,1.51,9.69,1.09,12.09,407.83,27.51
Slovakia,2017,2.35,105.24,3.07,52.67,1.47,1.64,1.77,8.61,1.6,12.97,373.39,27.23
Slovakia,2018,1.23,83.19,2.77,48.37,1.23,1.69,1.82,8.73,1.4,12.25,316.58,28.9
Slovakia,2019,1.14,67.79,2.5,41.54,1.39,1.74,1.78,7.52,1.43,12.81,271.47,31.61
Slovakia,2020,1.21,68.25,2.4,36.35,1.15,0.97,1.69,5.95,1.08,11.34,256.57,27.35
Slovakia,2021,1.76,59.47,3.41,35.0,1.01,0.99,1.69,5.29,1.32,10.82,179.48,32.46
Slovakia,2022,1.25,64.79,2.52,39.05,0.77,0.88,1.97,5.76,1.62,11.04,206.4,27.89
Slovakia,2023,0.63,67.55,1.51,,1.14,0.85,1.84,6.13,1.31,10.83,217.84,25.07
Slovenia,2014,,659.99,,,0.82,0.24,7.81,14.41,3.05,10.86,1460.54,80.64
Slovenia,2015,,496.93,,,0.97,0.15,6.2,11.25,2.13,8.33,1105.16,84.2
Slovenia,2016,9.64,518.7,56.15,212.34,0.48,0.15,7.99,10.95,3.15,11.14,1036.44,69.62
Slovenia,2017,3.87,423.64,47.0,193.72,0.92,0.05,7.65,11.52,3.15,10.79,994.19,78.61
Slovenia,2018,5.23,406.26,10.31,189.03,0.44,0.29,6.68,15.58,2.37,9.04,898.94,73.4
Slovenia,2019,8.89,400.64,10.52,191.17,0.67,0.53,8.75,15.09,2.84,11.58,1263.05,65.93
Slovenia,2020,14.22,395.11,14.89,162.46,0.52,0.14,6.97,12.17,3.29,10.26,1165.58,71.38
Slovenia,2021,8.87,225.13,11.81,165.39,0.43,0.19,8.25,10.53,3.03,11.29,859.85,67.38
Slovenia,2022,9.06,265.9,29.66,173.74,0.62,0.05,10.35,10.2,3.37,13.72,1022.74,65.54
Slovenia,2023,4.96,291.6,10.01,,0.61,0.14,12.19,13.79,4.06,16.25,1175.97,61.13
Spain,2014,,370.8,,,0.69,0.21,2.66,152.34,17.69,20.36,404.61,28.83
Spain,2015,,342.87,,,0.65,0.2,2.65,139.03,13.49,16.14,520.87,25.98
Spain,2016,0.16,336.79,2.46,394.07,0.63,0.2,2.69,135.56,16.1,18.79,435.36,26.8
Spain,2017,0.15,307.07,2.42,461.22,0.66,0.15,2.98,132.74,17.36,20.34,429.07,27.85
Spain,2018,0.17,301.17,2.09,619.78,0.62,0.17,3.64,129.23,21.24,24.89,425.31,30.29
Spain,2019,0.12,280.43,1.88,697.99,0.71,0.19,3.99,140.35,23.77,27.76,436.44,35.42
Spain,2020,0.1,282.48,1.61,761.74,0.63,0.16,3.37,95.63,20.1,23.48,263.04,36.15
Spain,2021,0.29,269.15,2.24,766.27,0.61,0.2,4.52,111.97,26.95,31.47,305.05,38.64
Spain,2022,0.37,313.52,3.19,923.85,0.69,0.18,6.04,133.65,29.36,35.4,433.24,40.18
Spain,2023,0.18,314.72,2.47,,0.69,0.25,10.17,134.58,29.59,39.76,462.37,43.74
Sweden,2014,,865.92,,,0.9,,65.26,86.72,105.89,175.33,4141.4,1018.36
Sweden,2015,,923.93,,,1.15,,56.88,86.8,95.61,156.32,4100.05,990.61
Sweden,2016,2.55,904.02,213.55,2207.49,1.08,,64.06,86.91,111.32,179.48,3810.73,949.62
Sweden,2017,2.87,900.25,211.05,2536.88,1.13,,69.72,86.53,115.11,188.83,3602.88,1027.08
Sweden,2018,4.36,769.88,207.81,2976.31,1.07,,74.85,85.43,111.57,190.43,3303.14,1073.94
Sweden,2019,1.57,737.52,201.53,2867.82,1.09,,80.85,88.32,108.91,195.11,3216.5,1127.92
Sweden,2020,1.47,785.66,191.63,2701.06,1.2,,86.02,85.32,112.0,204.73,3011.72,1222.41
Sweden,2021,3.85,703.48,205.03,2487.85,1.09,,89.74,70.34,121.74,217.72,2784.26,1158.39
Sweden,2022,1.66,663.27,186.47,2379.66,1.11,,86.38,62.02,108.16,200.34,2858.48,1108.6
Sweden,2023,2.56,663.73,197.54,,1.15,,84.66,60.85,102.02,192.08,2736.67,1094.55
Switzerland,2014,,782.66,,,0.5,0.01,6.83,29.08,26.92,33.75,2145.07,994.96
Switzerland,2015,,638.15,,,0.69,0.05,6.46,22.57,26.44,32.9,1916.94,1045.54
Switzerland,2016,0.24,558.88,45.02,197.23,0.54,0.04,7.06,22.53,25.87,32.93,1757.62,999.96
Switzerland,2017,0.3,491.13,40.25,168.98,0.53,0.04,7.35,20.74,37.25,44.6,1680.66,951.05
Switzerland,2018,0.21,458.16,0.22,206.5,0.59,0.09,7.38,19.38,7.84,33.51,1550.49,899.42
Switzerland,2019,0.15,426.23,0.16,223.55,0.54,0.06,7.95,21.91,7.33,32.0,1552.41,886.61
Switzerland,2020,0.23,381.35,0.24,241.21,0.55,0.07,8.28,22.65,7.94,33.8,1409.73,797.12
Switzerland,2021,0.69,359.69,0.69,277.81,0.48,0.06,8.73,20.02,8.3,35.18,1356.19,702.25
Switzerland,2022,0.65,408.89,0.65,294.8,0.48,0.05,9.92,22.21,8.61,36.01,1590.27,632.86
Switzerland,2023,0.33,469.96,0.34,,0.6,0.07,9.52,21.89,7.67,33.9,1912.28,617.76
Türkiye,2016,2.18,,6.3,98.42,,,,13.83,7.02,,,
Türkiye,2017,,208.76,,,2.91,,,15.26,7.92,,374.48,
Türkiye,2018,,152.54,,,2.44,,,13.59,9.31,,310.02,
Türkiye,2019,,130.19,,,2.25,,,13.29,10.34,,264.08,
Türkiye,2020,,121.1,,,2.37,,,13.51,9.3,,237.99,
Türkiye,2021,,126.06,,,2.36,,,15.88,10.79,,251.14,
Türkiye,2022,,144.3,,,2.47,,,18.51,11.4,,285.84,
Türkiye,2023,,106.88,,,2.54,,,17.45,9.98,,212.99,
