Country Name,geo,Year,Personnel in adult prison,Personnel in juvenile prison,Police officers,Professional judges
Albania,AL,2008,112.74,0,302.46,
Albania,AL,2009,120.67,2.2,289.79,
Albania,AL,2011,127.66,2.47,343.36,
Albania,AL,2014,124.42,2.62,332.36,12.47
Albania,AL,2015,140.1,2.66,337.62,12.334
Albania,AL,2016,133.05,2.7,367.05,
Albania,AL,2017,133,2.71,370.26,13.8
Albania,AL,2018,147.13,2.72,368.32,12.58
Albania,AL,2019,147.53,2.72,364.52,12.09
Albania,AL,2020,148.39,2.74,381.21,12.72
Albania,AL,2021,149.31,2.51,385.83,13.11
Albania,AL,2022,150.99,2.79,389.03,8.77
Albania,AL,2023,149.22,2.9,347.06,8.87
Austria,AT,2008,47.36,1.11,320.45,27.97
Austria,AT,2009,46.6,1.12,319.41,28.09
Austria,AT,2010,46.94,1.13,329.73,28.11
Austria,AT,2011,46.81,1.1,329.71,28.14
Austria,AT,2012,46.28,1.12,330.24,28.19
Austria,AT,2013,45.77,1.09,328.72,28.27
Austria,AT,2014,46.4,1.15,327.95,4.58
Austria,AT,2015,48.87,1.18,325.65,4.58
Austria,AT,2016,48.12,1.16,332.35,4.54
Austria,AT,2017,46.17,1.27,333.79,4.48
Austria,AT,2018,47.67,1.24,342.77,4.4
Austria,AT,2019,48.23,1.35,352.1,4.45
Austria,AT,2020,48.06,1.42,358.36,4.43
Austria,AT,2021,48.73,1.4,359.76,4.39
Austria,AT,2022,49.99,1.33,356.03,4.32
Austria,AT,2023,49.28,1.27,351.41,4.35
Belgium,BE,2008,75.81,1.11,361.69,
Belgium,BE,2009,76.79,1.38,371.29,
Belgium,BE,2010,75.01,2.01,368.31,22.69
Belgium,BE,2011,76.32,1.98,344.03,22.2
Belgium,BE,2012,75.12,2.01,345.6,22.1
Belgium,BE,2013,77.14,1.93,345.22,21.73
Belgium,BE,2014,,,338.68,22.23
Belgium,BE,2015,77.65,0,336.06,21.85
Belgium,BE,2016,,,333.23,
Belgium,BE,2017,,,335.21,14.24
Belgium,BE,2018,,,362.94,13.9
Belgium,BE,2019,,,335.6,13.8
Belgium,BE,2020,,,336.99,13.39
Belgium,BE,2021,,,335.72,
Belgium,BE,2022,,,338.29,
Belgium,BE,2023,,,335.87,
Bosnia and Herzegovina,BA,2008,,,,25.42
Bosnia and Herzegovina,BA,2009,,,,25.03
Bosnia and Herzegovina,BA,2010,46.75,0.42,432.88,27.34
Bosnia and Herzegovina,BA,2011,46.97,0.52,437.87,27.84
Bosnia and Herzegovina,BA,2012,,,435.58,28.26
Bulgaria,BG,2008,36.03,1.82,449.59,
Bulgaria,BG,2009,36.28,1.83,411.23,
Bulgaria,BG,2010,35.92,1.72,396.66,
Bulgaria,BG,2011,36.16,1.67,398.38,
Bulgaria,BG,2012,36.25,1.68,384.42,
Bulgaria,BG,2013,36.67,1.69,367.52,30.04
Bulgaria,BG,2014,37.62,1.16,388.8,30.38
Bulgaria,BG,2015,34.36,1.17,311.92,30.89
Bulgaria,BG,2016,36.78,0.18,425.43,31.52
Bulgaria,BG,2017,37.05,0.18,398.47,31.47
Bulgaria,BG,2018,38.98,0.18,407.69,31.53
Bulgaria,BG,2019,37.79,0.19,410.98,31.64
Bulgaria,BG,2020,39.99,0.17,419.62,31.43
Bulgaria,BG,2021,39.8,0.19,420.98,31.69
Bulgaria,BG,2022,40.15,0.18,444.27,33.75
Bulgaria,BG,2023,41.1,0.17,451.63,34.65
Croatia,HR,2008,56.98,3.46,459.72,43.67
Croatia,HR,2009,60.23,3.46,468.79,43.76
Croatia,HR,2010,59.54,2.88,484.47,43.85
Croatia,HR,2011,59.63,2.35,492.65,44.85
Croatia,HR,2012,59.85,2.17,499.04,45.18
Croatia,HR,2013,64.66,2.32,486.77,44.86
Croatia,HR,2014,63.44,2.14,484.18,44.81
Croatia,HR,2015,62.46,2.41,489.6,44.47
Croatia,HR,2016,62.59,,487.58,43.67
Croatia,HR,2017,60.73,2.07,493.38,43.04
Croatia,HR,2018,61.48,2.12,492,42.67
Croatia,HR,2019,61.87,2.09,498.79,42
Croatia,HR,2020,61.04,2,507.03,41.27
Croatia,HR,2021,61.57,2.16,513.53,41.62
Croatia,HR,2022,65.3,2.25,536.29,42.77
Croatia,HR,2023,64.3,2.29,528.01,43.26
Cyprus,CY,2008,50.11,,690.43,12.75
Cyprus,CY,2009,55.34,,671.7,12.17
Cyprus,CY,2010,53.71,,650.44,12.7
Cyprus,CY,2011,50.85,,632.45,11.91
Cyprus,CY,2012,50.81,,610.55,11.83
Cyprus,CY,2013,48.16,,579.64,11.9
Cyprus,CY,2014,47.55,,578.9,11.77
Cyprus,CY,2015,45.93,,581.1,13.34
Cyprus,CY,2016,,,572.9,13.08
Cyprus,CY,2017,,,585.05,13.92
Cyprus,CY,2018,,,570.1,13.65
Cyprus,CY,2019,,,562.51,6.96
Cyprus,CY,2020,,,548.2,7.55
Cyprus,CY,2021,,,546.76,7.14
Cyprus,CY,2022,43.44,,555.76,7.74
Cyprus,CY,2023,,,565.91,7.48
Czechia,CZ,2008,101.07,,413.28,29.43
Czechia,CZ,2009,102.65,,418.63,29.05
Czechia,CZ,2010,99.86,,394.03,29.28
Czechia,CZ,2011,100.82,,372.25,29.07
Czechia,CZ,2012,104.36,,365.17,29.08
Czechia,CZ,2013,100.87,,368.52,7.38
Czechia,CZ,2014,101.53,,374.64,7.25
Czechia,CZ,2015,103.51,,373.69,7.25
Czechia,CZ,2016,103.14,,378.46,7.14
Czechia,CZ,2017,104.46,,380.7,7.21
Czechia,CZ,2018,106.79,,377.38,7.17
Czechia,CZ,2019,,,378.31,7.14
Czechia,CZ,2020,105.84,,375.1,7.07
Czechia,CZ,2021,104.84,,384.19,7.2
Czechia,CZ,2022,103.05,,381.09,7.07
Czechia,CZ,2023,100.42,,363.02,6.87
Denmark,DK,2008,225.58,,196.14,14.19
Denmark,DK,2009,268.5,,196.77,15.3
Denmark,DK,2010,299.38,,200.26,15.85
Denmark,DK,2011,300.63,,195.45,14.69
Denmark,DK,2012,295.33,,193.48,14.89
Denmark,DK,2013,88.35,,191.84,14.08
Denmark,DK,2014,65.93,,188.25,13.81
Denmark,DK,2015,60.07,0,186.1,13.55
Denmark,DK,2016,57.52,,186.15,13.4
Denmark,DK,2017,54.92,,188.27,13.2
Denmark,DK,2018,51.82,,191.14,12.35
Denmark,DK,2019,49.55,,192.44,10.4
Denmark,DK,2020,48,,194.07,10.91
Denmark,DK,2021,47.84,,195.27,11.08
Denmark,DK,2022,46.72,,193.48,11.34
Denmark,DK,2023,46.25,,192.53,11.29
England and Wales,UKC-L,2008,93.82,1.98,263.24,
England and Wales,UKC-L,2009,84.41,1.58,261.15,
England and Wales,UKC-L,2010,81.17,1.98,250.81,
England and Wales,UKC-L,2011,75.38,1.95,239.75,10.07
England and Wales,UKC-L,2012,70.96,1.92,229.88,9.88
England and Wales,UKC-L,2013,54.43,8.14,225.36,9.7
England and Wales,UKC-L,2014,55.89,2.78,222.46,9.17
England and Wales,UKC-L,2015,54.47,2.21,215.13,8.84
England and Wales,UKC-L,2016,53.48,2.12,211.78,8.46
Estonia,EE,2008,147.71,0,240.43,17.71
Estonia,EE,2009,,0,238.29,17.29
Estonia,EE,2010,124.5,,341.41,16.8
Estonia,EE,2011,127.63,,337.23,16.62
Estonia,EE,2012,,,333.83,17.2
Estonia,EE,2013,125.44,,319.65,17.12
Estonia,EE,2014,120,,310.76,17.48
Estonia,EE,2015,119.63,,297.82,17.8
Estonia,EE,2016,93.39,,298.57,16.34
Estonia,EE,2017,92.05,,296.05,17.48
Estonia,EE,2018,92.03,,295.12,17.89
Estonia,EE,2019,90.8,,301.4,17.66
Estonia,EE,2020,91.05,,306.25,18.21
Estonia,EE,2021,86.69,,295.7,18.65
Estonia,EE,2022,90.18,,289.16,18.4
Estonia,EE,2023,,,,18.01
Finland,FI,2008,52.47,,153.74,17.38
Finland,FI,2009,51.46,,154.85,17.65
Finland,FI,2010,50.21,,151.4,18.07
Finland,FI,2011,48.85,,151.08,18.03
Finland,FI,2012,48.06,,147.69,18.03
Finland,FI,2013,44.89,,141.52,18.17
Finland,FI,2014,44.06,,140.63,18.12
Finland,FI,2015,42.69,,140.56,18.11
Finland,FI,2016,37.87,,137.21,19.46
Finland,FI,2017,37.85,,132.04,18.99
Finland,FI,2018,37.86,,132.72,19.61
Finland,FI,2019,37.42,,133.51,19.7
Finland,FI,2020,37.41,,136.97,20.14
Finland,FI,2021,38.53,,136.8,18.61
Finland,FI,2022,38.08,,137.49,18.49
Finland,FI,2023,38.28,,139.45,18.96
France,FR,2008,40.81,0.51,303.31,9.2
France,FR,2009,40.13,0.72,297.09,9.22
France,FR,2010,,,290.49,9.17
France,FR,2011,,,284.06,9.02
France,FR,2012,,,284.15,8.97
France,FR,2013,42.81,0.7,366.6,8.85
France,FR,2014,42.51,0.69,316.9,8.6
France,FR,2015,42,0.67,322.7,8.6
France,FR,2016,,,320.48,
France,FR,2017,,,322.22,10.58
France,FR,2018,56.89,0.65,322.18,10.86
France,FR,2019,59.03,0.67,357.02,11.06
France,FR,2020,60.65,0.68,358.97,11.19
France,FR,2021,60.17,0.68,359.99,11.43
France,FR,2022,60.79,0.72,,11.28
France,FR,2023,60.88,0.67,,11.52
Germany,DE,2008,45.22,,301.17,24.45
Germany,DE,2009,44.74,,299.69,
Germany,DE,2010,45,,297.82,24.95
Germany,DE,2011,44.63,,303.16,
Germany,DE,2012,45.1,,303.73,25.37
Germany,DE,2013,45.27,,304.35,
Germany,DE,2014,44.96,,302.89,25.14
Germany,DE,2015,44.15,,301.69,
Germany,DE,2016,43.77,,297.31,25.24
Germany,DE,2017,43.97,,298.88,
Germany,DE,2018,43.98,,295.68,25.77
Germany,DE,2019,44.26,,297.6,
Germany,DE,2020,44.68,,301.27,26.38
Germany,DE,2021,45.14,,306.83,
Germany,DE,2022,45.12,,311.06,26.44
Germany,DE,2023,,,316.98,
Greece,EL,2008,38.44,2.55,354.5,33.31
Greece,EL,2009,,,507.74,33.58
Greece,EL,2010,,,481.12,33.02
Greece,EL,2011,,,496.41,32.79
Greece,EL,2012,,,493.01,34.33
Greece,EL,2013,,,485.67,35.49
Greece,EL,2014,41.23,,477.77,36.51
Greece,EL,2015,41.42,0.53,485.18,37.95
Greece,EL,2016,41.37,0.54,489.75,40.06
Greece,EL,2017,41.3,0.51,493.96,40.2
Greece,EL,2018,42.22,0.45,494.97,40.49
Greece,EL,2019,40.19,0.43,507.52,40.59
Greece,EL,2020,40.08,0.39,524.74,29.02
Greece,EL,2021,39.71,0.39,520.38,28.28
Greece,EL,2022,40.66,0.43,533.67,25.79
Greece,EL,2023,43.88,0.46,543,25.97
Hungary,HU,2008,72.51,6.54,335.65,28.11
Hungary,HU,2009,71.16,6.43,333.47,29.1
Hungary,HU,2010,73.87,4.25,344.35,29.14
Hungary,HU,2011,73.59,4.24,365.55,28.93
Hungary,HU,2012,75.33,4.43,366.76,28.02
Hungary,HU,2013,72.85,3.99,367.69,28.56
Hungary,HU,2014,73.54,4.17,373.45,28.74
Hungary,HU,2015,73.7,4.18,377.87,28.82
Hungary,HU,2016,76.34,4.37,391.77,
Hungary,HU,2017,81.32,4.55,406.36,29.21
Hungary,HU,2018,78.46,4.14,403.17,29.99
Hungary,HU,2019,80.77,4.15,386.19,29.94
Hungary,HU,2020,92.44,4.19,384.45,28.96
Hungary,HU,2021,92.43,4.19,378.94,28.21
Hungary,HU,2022,91.71,4.18,378.12,28.02
Hungary,HU,2023,96.26,4.18,377.29,28.04
Iceland,IS,2008,29.48,,259.62,
Iceland,IS,2009,30.06,,261.14,
Iceland,IS,2010,,,208.73,
Iceland,IS,2011,,,202.23,
Iceland,IS,2012,31.6,,203.4,
Iceland,IS,2013,32.31,,202.57,13.36
Iceland,IS,2014,35.93,,190.99,14.43
Iceland,IS,2015,34.34,,198.72,14.28
Iceland,IS,2016,32.78,,194.27,12.63
Iceland,IS,2017,33.4,,185.61,15.07
Iceland,IS,2018,32.14,,175.92,18.65
Iceland,IS,2019,31.93,,196.64,18.21
Iceland,IS,2020,30.76,,192.51,17.58
Iceland,IS,2021,32.54,,196.05,17.08
Iceland,IS,2022,35.88,,207.58,17.01
Iceland,IS,2023,35.85,,201.93,16.51
Ireland,IE,2008,73.6,5.27,323.28,
Ireland,IE,2009,71.33,4.8,321.74,
Ireland,IE,2010,68.25,4.51,316.02,3.23
Ireland,IE,2011,72.41,,303.97,3.04
Ireland,IE,2012,74.91,,292.93,3.14
Ireland,IE,2013,74.75,,285.18,3.22
Ireland,IE,2014,73.39,,277.91,3.5
Ireland,IE,2015,71.46,,,3.48
Ireland,IE,2018,64.55,,345.6,3.31
Ireland,IE,2019,65.76,5.44,359.71,3.41
Ireland,IE,2020,69.57,5.5,362.82,3.36
Ireland,IE,2021,65.06,5.29,352.03,3.4
Ireland,IE,2022,64.58,4.96,342.51,3.43
Ireland,IE,2023,67.91,4.7,334.69,3.66
Italy,IT,2008,78.63,2.19,383.74,
Italy,IT,2009,77.6,2.11,497.61,
Italy,IT,2010,76.36,2.1,466.73,11.24
Italy,IT,2011,75.09,2.05,469.07,
Italy,IT,2012,75.83,2.01,465.95,10.69
Italy,IT,2013,74.69,1.91,463.29,11.36
Italy,IT,2014,72.26,1.86,,11.42
Italy,IT,2015,71.27,1.85,449.61,10.68
Italy,IT,2016,67.77,1.83,452.73,10.5
Italy,IT,2017,66.91,1.83,,10.74
Italy,IT,2018,66.14,1.96,,10.97
Italy,IT,2019,67.43,1.96,413.59,11.26
Italy,IT,2020,66.76,2.19,398.9,17.36
Italy,IT,2021,65.77,2.15,,17.25
Italy,IT,2022,66.1,2.13,,17.39
Italy,IT,2023,65.66,2.1,,16.91
Kosovo*,XK,2008,,,325.39,13.75
Kosovo*,XK,2009,,,332.01,12.89
Kosovo*,XK,2010,,,327.61,11.14
Kosovo*,XK,2011,24.02,0.84,401.58,14.1
Kosovo*,XK,2016,34.77,1.69,439.32,18.63
Kosovo*,XK,2017,,,490.71,
Kosovo*,XK,2018,30.36,4.23,480.01,21.91
Kosovo*,XK,2019,35.31,4.23,518.97,23.33
Kosovo*,XK,2020,35.13,4.26,457.66,
Latvia,LV,2008,136.55,20.3,408.75,18.84
Latvia,LV,2009,131.31,9.71,448.21,19.79
Latvia,LV,2010,135.63,8.35,458.62,19.95
Latvia,LV,2011,,,,20.29
Latvia,LV,2012,114.83,4.69,420.33,21.27
Latvia,LV,2013,124.96,4.94,405.12,21.25
Latvia,LV,2014,123.06,4.9,458.46,21.48
Latvia,LV,2015,126.88,4.78,458.19,19.23
Latvia,LV,2016,130.27,4.77,428.6,19.55
Latvia,LV,2017,126.56,4.72,425.82,20.1
Latvia,LV,2018,122.16,4.5,244.73,23.94
Latvia,LV,2019,103.75,4.69,234.59,21.88
Latvia,LV,2020,103.06,4.61,233.48,25.58
Latvia,LV,2021,99.46,3.91,232.41,28.79
Latvia,LV,2022,95.48,3.63,224.18,28.31
Latvia,LV,2023,95.54,3.66,215.35,27.88
Liechtenstein,LI,2008,16.97,0,234.76,195.16
Liechtenstein,LI,2009,44.96,0,252.89,168.59
Liechtenstein,LI,2010,44.58,0,247.95,167.16
Liechtenstein,LI,2011,44.26,0,248.97,168.75
